MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10000847339,000000000034153614,0.0030,Active Import Interval (kWh),24-02-2025 07:00
10000847339,000000000034153614,0.0010,Active Export Interval (kWh),24-02-2025 06:30
10000847339,000000000034153614,0.0055,Active Import Interval (kWh),24-02-2025 06:30
10000847339,000000000034153614,0.0660,Active Import Interval (kWh),24-02-2025 06:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),24-02-2025 06:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),24-02-2025 05:30
10000847339,000000000034153614,0.0765,Active Import Interval (kWh),24-02-2025 05:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),24-02-2025 05:00
10000847339,000000000034153614,0.0510,Active Import Interval (kWh),24-02-2025 05:00
10000847339,000000000034153614,0.1570,Active Import Interval (kWh),24-02-2025 04:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),24-02-2025 04:30
10000847339,000000000034153614,0.3475,Active Import Interval (kWh),24-02-2025 04:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),24-02-2025 04:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),24-02-2025 03:30
10000847339,000000000034153614,0.6465,Active Import Interval (kWh),24-02-2025 03:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),24-02-2025 03:00
10000847339,000000000034153614,0.7840,Active Import Interval (kWh),24-02-2025 03:00
10000847339,000000000034153614,0.6855,Active Import Interval (kWh),24-02-2025 02:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),24-02-2025 02:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),24-02-2025 02:00
10000847339,000000000034153614,0.0835,Active Import Interval (kWh),24-02-2025 02:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),24-02-2025 01:30
10000847339,000000000034153614,0.0880,Active Import Interval (kWh),24-02-2025 01:30
10000847339,000000000034153614,0.0840,Active Import Interval (kWh),24-02-2025 01:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),24-02-2025 01:00
10000847339,000000000034153614,0.1255,Active Import Interval (kWh),24-02-2025 00:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),24-02-2025 00:30
10000847339,000000000034153614,0.1030,Active Import Interval (kWh),24-02-2025 00:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),24-02-2025 00:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),23-02-2025 23:30
10000847339,000000000034153614,0.1210,Active Import Interval (kWh),23-02-2025 23:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),23-02-2025 23:00
10000847339,000000000034153614,0.1530,Active Import Interval (kWh),23-02-2025 23:00
10000847339,000000000034153614,0.1600,Active Import Interval (kWh),23-02-2025 22:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),23-02-2025 22:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),23-02-2025 22:00
10000847339,000000000034153614,0.1705,Active Import Interval (kWh),23-02-2025 22:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),23-02-2025 21:30
10000847339,000000000034153614,0.0430,Active Import Interval (kWh),23-02-2025 21:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),23-02-2025 21:00
10000847339,000000000034153614,0.0030,Active Import Interval (kWh),23-02-2025 21:00
10000847339,000000000034153614,0.0030,Active Import Interval (kWh),23-02-2025 20:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),23-02-2025 20:30
10000847339,000000000034153614,0.0030,Active Import Interval (kWh),23-02-2025 20:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),23-02-2025 20:00
10000847339,000000000034153614,0.0030,Active Import Interval (kWh),23-02-2025 19:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),23-02-2025 19:30
10000847339,000000000034153614,0.0315,Active Import Interval (kWh),23-02-2025 19:00
10000847339,000000000034153614,0.0005,Active Export Interval (kWh),23-02-2025 19:00
10000847339,000000000034153614,0.1105,Active Import Interval (kWh),23-02-2025 18:30
10000847339,000000000034153614,0.0010,Active Export Interval (kWh),23-02-2025 18:30
10000847339,000000000034153614,0.0035,Active Import Interval (kWh),23-02-2025 18:00
10000847339,000000000034153614,0.0005,Active Export Interval (kWh),23-02-2025 18:00
10000847339,000000000034153614,0.0015,Active Export Interval (kWh),23-02-2025 17:30
10000847339,000000000034153614,0.0045,Active Import Interval (kWh),23-02-2025 17:30
10000847339,000000000034153614,0.0055,Active Import Interval (kWh),23-02-2025 17:00
10000847339,000000000034153614,0.0025,Active Export Interval (kWh),23-02-2025 17:00
10000847339,000000000034153614,0.0050,Active Import Interval (kWh),23-02-2025 16:30
10000847339,000000000034153614,0.0020,Active Export Interval (kWh),23-02-2025 16:30
10000847339,000000000034153614,0.0235,Active Export Interval (kWh),23-02-2025 16:00
10000847339,000000000034153614,0.0055,Active Import Interval (kWh),23-02-2025 16:00
10000847339,000000000034153614,0.0035,Active Import Interval (kWh),23-02-2025 15:30
10000847339,000000000034153614,0.0845,Active Export Interval (kWh),23-02-2025 15:30
10000847339,000000000034153614,0.2680,Active Export Interval (kWh),23-02-2025 15:00
10000847339,000000000034153614,0.0040,Active Import Interval (kWh),23-02-2025 15:00
10000847339,000000000034153614,0.0155,Active Import Interval (kWh),23-02-2025 14:30
10000847339,000000000034153614,0.2340,Active Export Interval (kWh),23-02-2025 14:30
10000847339,000000000034153614,0.1525,Active Export Interval (kWh),23-02-2025 14:00
10000847339,000000000034153614,0.0015,Active Import Interval (kWh),23-02-2025 14:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),23-02-2025 13:30
10000847339,000000000034153614,0.0030,Active Import Interval (kWh),23-02-2025 13:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),23-02-2025 13:00
10000847339,000000000034153614,0.0035,Active Import Interval (kWh),23-02-2025 13:00
10000847339,000000000034153614,0.0030,Active Import Interval (kWh),23-02-2025 12:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),23-02-2025 12:30
10000847339,000000000034153614,0.0055,Active Import Interval (kWh),23-02-2025 12:00
10000847339,000000000034153614,0.0020,Active Export Interval (kWh),23-02-2025 12:00
10000847339,000000000034153614,0.0065,Active Import Interval (kWh),23-02-2025 11:30
10000847339,000000000034153614,0.0035,Active Export Interval (kWh),23-02-2025 11:30
10000847339,000000000034153614,0.0040,Active Export Interval (kWh),23-02-2025 11:00
10000847339,000000000034153614,0.0065,Active Import Interval (kWh),23-02-2025 11:00
10000847339,000000000034153614,0.0040,Active Import Interval (kWh),23-02-2025 10:30
10000847339,000000000034153614,0.0005,Active Export Interval (kWh),23-02-2025 10:30
10000847339,000000000034153614,0.0035,Active Import Interval (kWh),23-02-2025 10:00
10000847339,000000000034153614,0.0005,Active Export Interval (kWh),23-02-2025 10:00
